,RK,Team,Year,G,W,L,Conf,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,MP_scalnorm,FG_scalnorm,FGA_scalnorm,FG%_scalnorm,3P_scalnorm,3PA_scalnorm,3P%_scalnorm,2P_scalnorm,2PA_scalnorm,2P%_scalnorm,FT_scalnorm,FTA_scalnorm,FT%_scalnorm,ORB_scalnorm,DRB_scalnorm,AST_scalnorm,STL_scalnorm,BLK_scalnorm,TOV_scalnorm,PF_scalnorm,PTS_scalnorm,playoffs_y_n,W_%
10,11,Detroit Pistons,1980,82,16,66,East,241.2,44.4,92.6,0.48,0.7,2.7,0.26,43.7,90.0,0.486,19.4,26.2,0.74,15.0,29.5,23.8,9.5,6.9,21.2,25.2,108.9,-0.13393606610874362,0.10785492255023035,0.12053709375903156,-2.354185827876999e-17,0.020243072307415278,0.03045600407195289,0.010103440315359414,0.12053709375903156,0.10785492255023035,0.010103440315359414,-0.1482332031682167,-0.095751973295797,-0.18062054435354247,-0.030456004071952914,-0.030456004071952914,-0.18062054435354247,0.04078123756801658,0.22149666260839945,0.8796675849144354,0.07287406080121175,0.010103440315359414,0,0.1951219512195122
11,12,Seattle SuperSonics,1980,82,56,26,West,241.8,43.3,92.3,0.47,0.7,2.3,0.312,42.6,90.0,0.474,21.1,27.5,0.768,16.8,31.1,24.9,9.1,5.2,18.2,22.7,108.5,0.042131945950534225,-0.06338814078921853,0.199288769130056,-0.2787613961174101,0.042131945950534225,-0.06338814078921853,0.250874088782941,-0.06338814078921853,0.22447866106375505,-0.30851805541741395,0.021028310071552255,-0.021028310071551863,0.021028310071551766,0.46100143671483784,0.37592589191473297,-0.1992887691300561,-0.1992887691300561,0.021028310071551766,-0.22447866106375516,-0.4154318056417087,-0.021028310071551863,1,0.6829268292682927
12,13,New Jersey Nets,1980,82,34,48,East,241.5,42.1,91.5,0.461,1.0,3.6,0.285,41.1,87.9,0.46799999999999997,23.0,29.3,0.782,15.0,30.9,25.5,10.6,7.1,20.8,26.6,108.3,-0.05351015077741719,-0.19450074408657916,0.06726063294504461,-0.37037719240550343,0.17574108878034095,0.19450074408657916,0.09562000110300077,-0.19450074408657916,-0.013256993825747052,-0.2619029709791912,0.15815993937309883,0.0956200011030011,0.29063168554172386,-0.03996213619681704,0.19450074408657916,-0.06726063294504461,0.2369970392815442,0.3703771924055034,0.3703771924055034,0.37037719240550354,-0.05351015077741719,0,0.4146341463414634
13,14,Denver Nuggets,1980,82,30,52,West,241.8,42.2,91.1,0.46299999999999997,1.0,3.1,0.325,41.2,88.0,0.46799999999999997,22.8,31.0,0.737,16.0,30.8,25.4,9.1,4.9,18.7,23.4,108.3,0.032913996850042586,-0.19598593850029192,-0.04951959894555832,-0.3601400194928544,0.21777184762588847,0.11848876352539908,0.3601400194928543,-0.17536550416704716,0.016427575699194532,-0.32454046054156505,0.11848876352540026,0.3601400194928543,-0.45895769776099365,0.1959859385002919,0.1959859385002919,-0.11848876352539775,-0.1556868492876332,-0.01642757569919461,-0.04951959894555832,-0.1556868492876332,-0.066307796784525,0,0.36585365853658536
14,15,Kansas City Kings,1980,82,47,35,West,241.5,43.7,91.3,0.478,0.3,1.4,0.21899999999999997,43.4,89.9,0.48200000000000004,20.4,27.4,0.743,14.5,29.6,25.9,10.5,4.3,17.5,26.0,108.0,-0.0824024732561241,0.06153933060127973,-0.020414987872614098,-0.06153933060127978,-0.33072435886321533,-0.44755563845918456,-0.24355696975315175,0.1934762133093292,0.12515773306203848,-0.0824024732561241,-0.1035774040424324,-0.06153933060127978,-0.2706309019472205,-0.16997382085215496,-0.020414987872614098,-0.020414987872614098,0.29951966365332267,-0.19347621330932932,-0.44755563845918456,0.29951966365332267,-0.14724915682662895,1,0.573170731707317
15,16,San Diego Clippers,1980,82,35,47,West,240.9,43.0,91.4,0.47,2.2,6.6,0.326,40.8,84.8,0.48200000000000004,19.5,26.4,0.736,15.8,28.1,20.6,8.1,3.5,17.6,23.1,107.6,-0.3931218147806,-0.032567282828694574,0.00904659152940122,-0.059855779930047204,0.393121814787998,0.393121814787998,0.12614702613707995,-0.08071898681041814,-0.08071898681041814,-0.018225059553147682,-0.05386780399829185,-0.032567282828694574,-0.3931218147806,0.02768129460753884,-0.11078629892882089,-0.3931218147806,-0.09898644836682093,-0.3931218147806,-0.08071898681041814,-0.059855779930047204,-0.0427913795587194,0,0.4268292682926829
16,17,Chicago Bulls,1980,82,30,52,West,242.7,41.0,84.7,0.484,0.9,3.4,0.255,40.1,81.3,0.494,24.6,31.6,0.779,13.6,30.1,26.2,8.6,4.8,20.5,26.2,107.5,0.26447584847376754,-0.33704453812113533,-0.33704453812113533,0.06120741079509552,0.11433167471789767,0.14392609698523318,-0.012063910663218432,-0.33704453812113533,-0.33704453812113533,0.08701453482486288,0.26447584847377154,0.3370445381211356,0.19543627183968207,-0.215668133131887,0.08701453482486214,0.036365683451813846,-0.19543627183968212,-0.036365683451813874,0.21566813313188696,0.21566813313188696,-0.1439260969852332,0,0.36585365853658536
17,18,Washington Bullets,1980,82,39,43,East,242.4,43.6,95.1,0.45799999999999996,0.9,2.9,0.307,42.7,92.2,0.46299999999999997,18.9,25.0,0.758,16.3,33.2,26.8,6.5,5.4,16.8,23.1,107.0,0.07081141049647086,0.0053416445650765875,0.14923619508661154,-0.4650763925234966,0.050623648162032756,0.027101347344428168,0.0506236481620329,0.0161019557246833,0.14923619508661154,-0.4650763925234966,-0.14923619508661157,-0.1171043136867058,-0.027101347344428168,0.0783702441299799,0.4650763925322487,0.050623648162032756,-0.4650763925234966,0.0161019557246833,-0.14923619508661157,-0.07081141049647088,-0.0783702441299799,1,0.47560975609756095
18,19,Atlanta Hawks,1980,82,50,32,East,241.2,39.8,85.7,0.46399999999999997,0.2,0.9,0.17300000000000001,39.6,84.8,0.467,24.9,32.3,0.7709999999999999,16.7,29.3,23.3,9.5,6.6,18.2,28.0,104.5,-0.05230018160805133,-0.343498026943108,-0.08649138366204642,-0.07052982476105947,-0.343498026943108,-0.343498026943108,-0.343498026943108,-0.343498026943108,-0.07052982476105947,-0.11022348023858887,0.34349802694957215,0.34349802694957215,0.01189264841275417,0.07052982476105946,-0.028456312964463864,-0.08649138366204642,0.015924509304884798,0.05788301591407423,-0.04211585572566789,0.34349802694957215,-0.07052982476105947,1,0.6097560975609756
19,20,Golden State Warriors,1980,82,24,58,West,242.4,43.0,89.2,0.48200000000000004,0.3,1.5,0.223,42.7,87.8,0.486,17.2,23.3,0.738,14.1,29.7,24.7,9.5,4.1,18.2,25.4,103.6,0.0988782498673226,-0.05379924767163399,-0.07068885787002331,0.022484133423343555,-0.12083411597713499,-0.12083411597713499,-0.05379924767163399,0.022484133423343555,-0.022484133423343572,0.0074588609703572,-0.6494142600029579,-0.6494142600029579,-0.16351982693287134,-0.09887824986732266,0.0074588609703572,-0.08898646362593414,0.03010673312500514,-0.14735602007019943,-0.07962385555421518,0.07068885787002327,-0.16351982693287134,0,0.2926829268292683
20,21,Portland Trail Blazers,1980,82,38,44,West,241.2,41.6,87.4,0.47600000000000003,0.3,1.6,0.19699999999999998,41.2,85.8,0.48100000000000004,19.0,25.6,0.743,15.8,29.4,23.1,8.6,5.8,18.9,23.9,102.5,-0.19422374518726945,-0.26192197218653557,-0.21495634982336526,-0.07433442073743514,-0.2373510310200993,-0.1747935896882358,-0.3211973638478838,-0.15640288387730322,-0.10567633817409891,-0.13885212103722552,-0.3211973638478838,-0.19422374518726945,-0.19422374518726945,0.08982198071082957,-0.07433442073743514,-0.40932969028578026,-0.2373510310200993,0.10567633817409895,0.044164946352021145,-0.014651229309153621,-0.40932969028578026,1,0.4634146341463415
21,22,Utah Jazz,1980,82,24,58,West,241.5,41.2,83.1,0.496,0.7,2.3,0.319,40.5,80.9,0.501,19.2,23.7,0.809,11.8,28.8,24.5,8.0,4.4,18.8,24.5,102.4,-0.01967138196510425,-0.10684191343871358,-0.42431956695738343,0.096280673948345,0.009764519942344575,-0.014690865823552631,0.07150229206677575,-0.10684191343871358,-0.42431956695738343,0.07150229206677575,-0.08712476448998525,-0.1361579273674257,0.42431956696536854,-0.42431956695738343,-0.07150229206677575,-0.07150229206677575,-0.1361579273674257,-0.035151789667440904,-1.1355734008749915e-17,0.024726329166596884,-0.42431956695738343,0,0.2926829268292683
0,1,Denver Nuggets,1981,82,37,45,West,243.4,46.1,97.1,0.475,0.4,1.8,0.207,45.8,95.3,0.48,29.1,37.2,0.7829999999999999,16.2,30.5,24.8,8.8,4.6,17.6,25.7,121.8,0.34644790667000375,0.34644790667000375,0.34644790667000375,-0.044943333320608424,-0.01144403854051028,-0.011444038540510263,-0.0315033980115127,0.11265133591040548,0.34644790667000375,-0.044943333320608424,0.34644790667000375,0.34644790667000375,0.34644790667000375,0.09924798496040109,0.07308340573606803,-0.015317888105006498,-0.011444038540510263,-0.04983212582749811,-0.04983212582749811,0.03581655666263836,0.34644790667000375,0,0.45121951219512196
1,2,Milwaukee Bucks,1981,82,60,22,East,240.9,45.4,91.1,0.498,0.4,1.6,0.22899999999999998,45.0,89.5,0.503,22.0,28.5,0.77,15.4,29.4,28.3,10.5,6.5,19.3,26.8,113.1,-0.18320275480444637,0.26868372639142857,0.22254472343464934,0.18320275480444637,-0.042072846620418825,-0.11581904656022601,0.0,0.26868372639142857,0.26868372639142857,0.16522960515335727,0.027971946333602088,-0.056314661516505174,0.20222120314335007,0.22254472343464934,0.027971946333602088,0.32707819516064024,0.26868372639142857,0.22254472343464934,0.14810513883778548,0.32707819516064024,0.4141512072478948,1,0.7317073170731707
2,3,San Antonio Spurs,1981,82,52,30,West,241.5,43.5,88.7,0.491,0.2,1.0,0.17600000000000002,43.4,87.7,0.495,25.0,32.5,0.769,15.9,31.5,25.0,8.4,7.8,18.7,25.8,112.3,0.0487342266068659,0.02732604980040267,0.0,0.05619987670905741,-0.14352386242910442,-0.6180390329158629,-0.13037572614687676,0.08889705569641038,0.05619987670905741,0.03433042222617616,0.20096216880990997,0.20096216880990997,0.07186633623626965,0.13037572614687676,0.20096216880990997,-0.013573069213994569,-0.05619987670905739,0.6180390329274935,0.013573069213994569,0.08889705569641038,0.15871097879130325,1,0.6341463414634146
3,4,Philadelphia 76ers,1981,82,62,20,East,242.1,44.3,86.3,0.514,0.2,1.0,0.226,44.1,85.2,0.518,22.7,29.6,0.768,13.3,31.9,28.9,10.5,7.2,20.8,25.1,111.7,0.09881861537832107,0.07435108832954547,-0.0612071317371916,0.425530364428561,-0.09881861537832101,-0.42553036442055314,-0.009345288535720664,0.07435108832954547,-0.03355434220705055,0.425530364428561,0.0612071317371916,0.033554342207050586,0.038694569020288734,-0.09881861537832101,0.425530364428561,0.425530364428561,0.08976590037870204,0.12190297703033127,0.10927520277153766,0.004665035077298593,0.08976590037870204,1,0.7560975609756098
4,5,Los Angeles Lakers,1981,82,54,28,West,241.5,46.1,90.0,0.512,0.2,1.1,0.18100000000000002,45.9,88.9,0.516,18.8,25.8,0.7290000000000001,14.2,30.4,28.8,9.9,6.7,19.0,23.8,111.2,0.04744318533532095,0.6016662708157273,0.08654204206812953,0.19563838566986474,-0.13972170442335066,-0.10512655684724583,-0.0699624913909576,0.6016662708157273,0.10512655684724585,0.19563838566986474,-0.15450649175758466,-0.1269218815907482,-0.0699624913909576,-0.03342095889722876,0.09552605193180658,0.19563838566986474,0.0699624913909576,0.1269218815907482,0.04035793702750517,-0.1269218815907482,0.10512655684724585,1,0.6585365853658537
5,6,Portland Trail Blazers,1981,82,45,37,West,242.1,45.6,91.9,0.496,0.3,1.8,0.16899999999999998,45.3,90.1,0.503,19.2,26.7,0.718,15.2,29.1,27.4,9.4,5.9,18.5,24.8,110.7,0.2805365570300862,0.3102218042311993,0.3102218042311993,0.14047235207349903,-0.15671428723002626,-0.039904568940520614,-0.31022180423119916,0.3102218042311993,0.3928073978574775,0.15671428723002626,-0.23192700135271097,-0.21107559796862316,-0.31022180423119916,0.14047235207349903,0.0,0.2110755979686232,0.10985016463908297,0.09525755446114413,-0.026530376490571234,-0.026530376490571234,0.17376116774659447,1,0.5487804878048781
6,7,Phoenix Suns,1981,82,57,25,West,240.9,43.7,89.3,0.49,0.4,2.0,0.217,43.3,87.4,0.496,22.1,29.6,0.745,15.0,30.4,26.9,10.7,5.1,21.1,24.3,110.0,-0.23401645080973635,0.21105821147698345,0.14794298394214916,0.10913101839848609,-0.05374230454166656,0.05374230454166647,-0.07193427430013917,0.16819799138071925,0.07193427430013921,0.14794298394214916,0.10913101839848617,0.12829008400957304,-0.10913101839848609,0.12829008400957304,0.25830991618327426,0.21105821147698345,0.5290214970957832,-0.03573033391455917,0.5290214970957832,-0.1891840489762145,0.1891840489762145,1,0.6951219512195121
7,8,Boston Celtics,1981,82,62,20,East,241.2,43.7,86.6,0.504,0.8,2.9,0.27,42.9,83.6,0.513,21.7,28.9,0.752,14.1,29.6,26.9,8.3,7.2,19.2,24.3,109.9,-0.048643779905958584,0.1910351495714492,-0.17123618569393959,0.37816123736468893,0.3419748389235163,0.3106467258755533,0.15224107233817383,0.06510988013247404,-0.2573017377135044,0.37816123736468893,-0.03234060231932745,-0.016143968553132795,0.03234060231932745,-0.15224107233817383,0.06510988013247404,0.1910351495714492,-0.17123618569393959,0.42186131403122407,0.133907654516996,-0.17123618569393959,0.133907654516996,1,0.7560975609756098
8,9,Golden State Warriors,1981,82,39,43,West,240.6,43.4,88.8,0.489,0.7,2.6,0.28600000000000003,42.7,86.3,0.495,22.3,30.6,0.727,17.1,28.9,24.7,7.5,3.7,18.9,26.3,109.8,-0.6480357291612528,0.007104332993948854,0.021406236601546526,0.028652327222690763,0.10288809215573994,0.09321169900340964,0.13670354825310999,0.014231841900905552,0.007104332993948854,0.03599665881100167,0.07535438884061367,0.09321169900340964,-0.09321169900340964,0.648035729173448,-0.028652327222690746,-0.043468258764276686,-0.21071592353016602,-0.16641406026036526,0.028652327222690763,0.13670354825310999,0.043468258764276686,0,0.47560975609756095
9,10,Chicago Bulls,1981,82,45,37,East,241.2,42.2,84.2,0.501,0.5,2.2,0.212,41.7,82.0,0.508,24.2,31.3,0.774,15.0,30.2,23.5,8.9,6.3,20.4,25.1,109.0,-0.042519804540781664,-0.18514899635617438,-0.3305528873112321,0.2715380690192689,0.07150116693816307,0.1496785233403178,-0.08634221422422428,-0.1496785233403178,-0.41855091340463085,0.2715380690192689,0.2715380690192689,0.2715380690192689,0.2715380690192689,0.10150047235838813,0.1496785233403178,-0.3305528873112321,0.0,0.18514899635617438,0.2715380690192689,0.014111534685807739,0.05691291635351304,1,0.5487804878048781
10,11,Houston Rockets,1981,82,40,42,West,241.5,43.6,89.5,0.48700000000000004,0.3,1.4,0.17800000000000002,43.3,88.0,0.49200000000000005,20.9,27.1,0.77,14.8,28.6,25.6,8.6,4.8,17.7,23.2,108.3,0.14737354031209787,0.14737354031209787,0.2173256279582885,0.0,-0.24245362435791595,-0.24245362435791595,-0.2967341329576941,0.19321784418903834,0.2173256279582885,0.0,-0.1253645179470727,-0.2173256279582885,0.2967341329576941,0.08263466935294865,-0.1253645179470727,0.1038160696525329,-0.1253645179470727,-0.1038160696525329,-0.19321784418903834,-0.6077147078833781,0.041045306394289015,1,0.4878048780487805
11,12,New York Knicks,1981,82,50,32,East,241.8,42.7,88.5,0.483,0.7,2.9,0.237,42.1,85.6,0.491,21.7,29.1,0.747,13.9,26.9,24.1,10.5,3.8,17.8,23.4,107.9,0.26648385771620364,-0.07421055761527857,-0.036860982186545876,-0.036860982186545876,0.26648385771620364,0.3540671047417183,0.036860982186545876,-0.11258435297037825,-0.07421055761527857,-0.036860982186545876,-0.036860982186545876,0.07421055761527862,-0.07421055761527857,-0.24142165156596768,-0.3540671047417183,-0.24142165156596768,0.3540671047417183,-0.3540671047417183,-0.11258435297037825,-0.43101839899287997,0.0,1,0.6097560975609756
12,13,Indiana Pacers,1981,82,44,38,East,240.6,42.6,88.4,0.48200000000000004,0.4,2.1,0.17800000000000002,42.2,86.3,0.489,22.1,31.0,0.715,16.2,27.6,25.5,10.2,5.9,18.2,24.5,107.6,-0.8716223957468285,-0.05846576992305644,-0.038538014146052464,-0.038538014146052464,-0.028791861915873924,0.07925886322538071,-0.13838676070326866,-0.038538014146052464,0.009555485084724535,-0.038538014146052464,0.05846576992305648,0.1522948281832467,-0.28341757996443273,0.24969631728286584,-0.10135332046630142,0.019142142285291607,0.1253717977898216,0.06873003335976684,-0.038538014146052464,-0.0484163026509904,-0.019142142285291607,1,0.5365853658536586
13,14,Kansas City Kings,1981,82,40,42,West,241.8,43.6,87.2,0.5,0.6,2.0,0.292,43.0,85.2,0.505,19.2,26.9,0.7140000000000001,12.6,29.9,27.7,8.8,4.7,17.7,25.5,106.9,0.13089243082346322,0.0650079609589786,-0.055299558326994104,0.14404730742625144,0.085230347625624,0.027232639704480147,0.26806911146068657,0.055299558326994104,-0.06500796095897853,0.14404730742625144,-0.1582772257230266,-0.11858229274261667,-0.8244197173174984,-0.2680691114606864,0.07496660243474759,0.17391186247245352,-0.027232639704480147,-0.085230347625624,-0.085230347625624,0.055299558326994104,-0.04579431958134514,1,0.4878048780487805
14,15,New Jersey Nets,1981,82,24,58,East,241.5,42.4,89.2,0.475,0.4,1.7,0.24600000000000002,42.0,87.5,0.48,21.7,28.9,0.7509999999999999,13.3,29.0,25.2,9.1,5.6,20.3,26.9,106.9,0.1513532032530453,-0.1984354829349113,0.12874985106132883,-0.2490008220550889,-0.06340373073553333,-0.12874985106132883,0.0848661291561463,-0.17453916794369895,0.12874985106132883,-0.2490008220550889,-0.042153690466567265,-0.021042522540900766,-0.021042522540900766,-0.4457400442019931,-0.042153690466567265,0.0,0.06340373073553324,0.042153690466567265,0.3353746383877027,0.6241253857873662,-0.10661951024435187,0,0.2926829268292683
15,16,San Diego Clippers,1981,82,36,46,West,240.6,42.4,88.8,0.47700000000000004,1.6,5.0,0.324,40.8,83.9,0.486,20.1,27.4,0.735,14.3,26.1,25.6,9.3,3.6,17.2,25.3,106.5,-0.4750358560439531,-0.049110265432515815,0.015691619259722542,-0.04319623052948195,0.4750358560528926,0.4750358560528926,0.4750358560528926,-0.06832786717903008,-0.06832786717903008,-0.03186395530930686,-0.05523775156024242,-0.04319623052948195,-0.04319623052948195,-0.010432503789920817,-0.15446311771389531,0.026386976617999578,0.03186395530930686,-0.15446311771389531,-0.15446311771389531,0.021003290678893307,-0.04319623052948195,0,0.43902439024390244
16,17,Cleveland Cavaliers,1981,82,28,54,East,241.2,43.4,92.8,0.467,0.9,3.0,0.289,42.5,89.8,0.473,18.1,23.3,0.778,15.3,27.4,24.5,7.7,3.9,17.0,24.3,105.7,-0.01688381492715564,0.005603425099115832,0.16619869813225221,-0.1312563365066019,0.16619869813225221,0.16619869813225221,0.13125633650660196,-0.005603425099115832,0.13125633650660196,-0.10782266175756673,-0.5111274588337709,-0.5111274588337709,0.16619869813225221,0.07351918528759999,-0.07351918528759999,-0.04647813267318711,-0.11869636572838052,-0.08930710007299837,-0.5111274588337709,-0.05943452736768893,-0.05943452736768893,0,0.34146341463414637
17,18,Washington Bullets,1981,82,39,43,East,241.2,43.3,91.7,0.47200000000000003,0.8,2.9,0.27,42.5,88.7,0.479,18.3,25.3,0.723,14.1,30.9,26.2,7.8,4.8,17.3,23.1,105.6,-0.02538824349432678,-0.016879261603921905,0.16213326210444937,-0.13429135608319917,0.17848408360345983,0.16213326210444937,0.07945791675382359,-0.00842588724363263,0.11055102094160198,-0.13429135608319917,-0.249913484294072,-0.249913484294072,-0.16213326210444937,-0.07945791675382359,0.19737054959321898,0.06988930846254486,-0.12202742522839981,-0.04269278883004997,-0.1973705495932189,-0.7685839034303127,-0.11055102094160198,0,0.47560975609756095
18,19,Atlanta Hawks,1981,82,31,51,East,243.0,40.1,83.7,0.479,0.1,1.0,0.122,40.0,82.7,0.484,24.5,31.6,0.777,14.6,27.1,22.5,9.1,5.7,19.6,27.8,104.9,0.14858386053858613,-0.1173449215756404,-0.14858386053858608,-0.030651132528965404,-0.45695478914260607,-0.45695478914260607,-0.45695478914260607,-0.1173449215756404,-0.0963949027129984,-0.04155207267454877,0.11734492157564046,0.11734492157564046,0.11734492157564046,0.005009537035018876,-0.07984174275416225,-0.14858386053858608,0.015094356518361694,0.020203852280545602,0.06572713563009183,0.45695478915120535,-0.07984174275416225,0,0.3780487804878049
