Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cleveland Cavaliers,18,240.0,40.9,83.1,.493,14.2,33.9,.420,26.7,49.2,.544,20.1,26.2,.767,9.2,32.9,42.2,22.1,7.4,4.7,13.1,18.8,116.2
2,Golden State Warriors,17,240.0,42.9,87.0,.494,12.7,32.9,.386,30.2,54.1,.559,20.7,25.4,.815,9.3,36.5,45.8,28.2,8.7,6.1,13.6,21.8,119.3
3,Boston Celtics,18,241.4,38.4,84.1,.457,12.7,34.4,.369,25.7,49.6,.517,15.7,20.3,.773,9.4,28.5,37.9,26.9,7.7,4.1,13.4,20.8,105.2
4,San Antonio Spurs,16,243.1,40.0,86.6,.462,8.6,24.4,.350,31.4,62.1,.506,18.5,23.9,.773,12.8,31.7,44.4,21.3,7.8,4.7,12.8,18.8,107.1
5,Washington Wizards,13,241.9,40.1,87.6,.457,8.4,26.5,.317,31.7,61.2,.518,19.5,24.6,.794,11.2,31.8,43.0,22.8,7.9,6.6,13.8,23.0,108.1
6,Houston Rockets,11,242.3,37.3,85.0,.439,12.8,38.5,.333,24.5,46.5,.525,20.4,25.8,.789,9.9,33.0,42.9,19.5,7.7,4.6,14.0,20.9,107.7
7,Utah Jazz,11,240.0,35.6,78.4,.455,9.5,25.9,.365,26.2,52.5,.499,17.1,23.4,.732,6.7,32.4,39.1,19.7,7.4,3.2,12.1,21.1,97.8
8,Toronto Raptors,10,240.0,35.3,79.5,.444,7.8,23.5,.332,27.5,56.0,.491,18.3,22.5,.813,6.8,32.5,39.3,19.6,7.4,4.4,12.9,20.9,96.7
9,Los Angeles Clippers,7,240.0,36.4,77.0,.473,8.1,23.4,.348,28.3,53.6,.528,16.7,24.0,.696,7.7,30.1,37.9,18.4,6.3,2.4,12.1,20.3,97.7
10,Atlanta Hawks,6,240.0,37.5,84.5,.444,8.3,27.3,.305,29.2,57.2,.510,22.2,29.0,.764,11.3,33.0,44.3,22.3,6.0,3.3,16.0,21.3,105.5
11,Chicago Bulls,6,240.0,36.3,82.5,.440,7.0,23.5,.298,29.3,59.0,.497,16.8,19.8,.849,12.5,34.2,46.7,20.0,7.2,5.2,15.3,18.3,96.5
12,Memphis Grizzlies,6,244.2,34.7,77.2,.449,9.3,24.2,.386,25.3,53.0,.478,17.7,20.3,.869,7.7,27.8,35.5,18.8,5.2,2.5,11.3,22.2,96.3
13,Milwaukee Bucks,6,240.0,34.8,78.2,.446,9.0,21.7,.415,25.8,56.5,.457,14.5,20.8,.696,8.2,29.8,38.0,21.2,8.2,5.0,13.3,21.3,93.2
14,Oklahoma City Thunder,5,240.0,38.6,87.4,.442,8.4,27.0,.311,30.2,60.4,.500,18.6,27.0,.689,12.2,31.4,43.6,19.8,8.4,8.0,12.8,22.2,104.2
15,Indiana Pacers,4,240.0,40.5,87.0,.466,11.3,28.8,.391,29.3,58.3,.502,16.5,21.5,.767,11.8,30.3,42.0,22.5,8.0,3.8,13.3,22.8,108.8
16,Portland Trail Blazers,4,240.0,35.5,89.5,.397,11.0,34.0,.324,24.5,55.5,.441,19.5,24.3,.804,10.0,34.0,44.0,15.8,7.3,4.8,15.3,21.8,101.5
