,RK,Team,Year,Conf,playoffs_y_n,G,W,L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,W%,MP_scalnorm,FG_scalnorm,FGA_scalnorm,FG%_scalnorm,3P_scalnorm,3PA_scalnorm,3P%_scalnorm,2P_scalnorm,2PA_scalnorm,2P%_scalnorm,FT_scalnorm,FTA_scalnorm,FT%_scalnorm,ORB_scalnorm,DRB_scalnorm,AST_scalnorm,STL_scalnorm,BLK_scalnorm,TOV_scalnorm,PF_scalnorm,PTS_scalnorm,W%_scalnorm
20,21,Oklahoma City Thunder,2020,West,0,64,40,24,241.6,40.3,85.1,0.473,10.4,29.3,0.355,29.9,55.8,0.536,19.8,24.8,0.797,8.1,34.6,21.9,7.6,5.0,13.5,18.8,110.8,0.625,0.0,-0.06689689833950083,-0.22222757823777847,0.1632264490981627,-0.20439425885123275,-0.18906365353646298,-0.02602562727549151,0.12241838913558026,0.006475837405610507,0.14150724309840043,0.20439425885123264,0.15196733540536464,0.12241838913558026,-0.778837314077557,0.0,-0.22222757823777847,-0.019476197225938137,0.006475837405610465,-0.14150724309840043,-0.20439425885123275,-0.039288775018158154,0.08153981336955479
21,22,Brooklyn Nets,2020,East,0,64,30,34,243.1,40.0,90.0,0.444,12.9,37.9,0.34,27.1,52.2,0.519,18.0,24.1,0.7440000000000001,10.8,37.6,24.0,6.5,4.6,15.5,20.7,110.8,0.46875,0.3871753503762167,-0.1802991554759734,0.12942789210979225,-0.2590888348933788,0.14151554822484008,0.25908883489337875,-0.2590888348933788,-0.1802991554759734,-0.1668841861094328,-0.09494701107298285,0.05178590189617724,0.1943143282593088,-0.22461400677343635,0.22461400677343635,0.4324192048014432,-0.030914507270738432,-0.30010014912466165,-0.09494701107298285,0.2785584314913207,0.010279076569077141,-0.062362950367933115,0.01027907656907701
22,23,Detroit Pistons,2020,East,0,66,20,46,241.9,39.3,85.7,0.45899999999999996,12.0,32.7,0.36700000000000005,27.3,53.0,0.515,16.6,22.4,0.743,9.8,32.0,24.1,7.4,4.5,15.3,19.7,107.2,0.30303030303030304,0.0763004978156289,-0.3671697800963911,-0.3671697800963911,-0.06335957601745204,-0.0505428921152733,-0.06335957601745204,0.1731429753483742,-0.1731429753483742,-0.14396320962798306,-0.2041812711326314,-0.15835383895311297,-0.1161667972447264,-0.3169928132681975,-0.15835383895311297,-0.3671697800963911,0.012576355908087974,-0.1161667972447264,-0.18839391025400232,0.2377417984784509,-0.1731429753483742,-0.2377417984784509,-0.3169928132681975
23,24,New York Knicks,2020,East,0,66,21,45,241.9,40.0,89.3,0.447,9.6,28.4,0.337,30.4,61.0,0.499,16.3,23.5,0.6940000000000001,12.0,34.5,22.1,7.6,4.7,14.3,22.2,105.8,0.3181818181818182,0.023380991093258374,-0.06759739434126225,0.011590404477099189,-0.07837271565952997,-0.4634908646331808,-0.16212173279754186,-0.11251294033351512,0.08421182867081288,0.46349086464190303,-0.11251294033351512,-0.06256788118601711,0.035597341163807604,-0.4634908646331808,0.46349086464190303,-0.011590404477099189,-0.11251294033351512,-0.011590404477099189,-0.019415465494292364,-0.035597341163807604,0.1322489954205108,-0.16212173279754186,-0.08421182867081288
24,25,Sacramento Kings,2020,West,0,64,28,36,242.3,40.4,87.8,0.45899999999999996,12.6,34.7,0.364,27.7,53.2,0.522,15.6,20.3,0.769,9.6,32.9,23.4,7.6,4.2,14.4,21.9,109.0,0.4375,0.2348195859799087,-0.08122080298837067,-0.2348195859799087,-0.06744537438766317,0.1382944568277959,0.12365791604142437,0.12365791604142437,-0.12365791604142437,-0.12365791604142437,0.0,-0.39084704852848096,-0.4594060858932703,-0.06744537438766317,-0.2530727888955389,-0.31415866246586277,-0.1843082534477263,-0.040262705495894856,-0.29253474835524307,-0.08122080298837067,0.29253474835524307,-0.21734808122289392,-0.08122080298837067
25,26,Cleveland Cavaliers,2020,East,0,65,19,46,241.9,40.3,87.9,0.45799999999999996,11.2,31.8,0.35100000000000003,29.1,56.1,0.519,15.1,19.9,0.758,10.8,33.4,23.1,6.9,3.2,16.5,18.3,106.9,0.2923076923076923,0.026665166697737993,-0.04540271222403835,-0.06050925527855526,-0.04540271222403835,-0.05031163744629267,-0.04059746793209606,-0.06050925527855526,0.013218433138412698,0.022142629534158777,-0.04059746793209606,-0.5285944089806384,-0.18489391716243697,-0.04059746793209606,0.09604051601029208,-0.06583908579339137,-0.08308497151311375,-0.09604051601029208,-0.5285944089806384,0.5285944089905859,-0.18489391716243697,-0.09604051601029208,-0.18489391716243697
26,27,Chicago Bulls,2020,East,0,65,22,43,241.2,39.6,88.6,0.447,12.2,35.1,0.348,27.4,53.5,0.511,15.5,20.5,0.755,10.5,31.4,23.2,10.0,4.1,15.5,21.8,106.8,0.3384615384615385,-0.06591234209017534,-0.12284211336582186,-0.02103769897435271,-0.10645535145858374,0.010479234456085668,0.07206809192072637,-0.09181899991248449,-0.05992246467866704,-0.037208985249943975,-0.12284211336582186,-0.17963666524835012,-0.14185843815631055,-0.05992246467866704,0.042735544932532295,-0.6295696464917424,-0.08498730362505227,0.62956964650359,-0.14185843815631055,0.14185843815631055,0.09895635529925453,-0.13194336737517892,-0.09895635529925453
27,28,Orlando Magic,2020,East,0,65,30,35,240.4,39.2,88.8,0.442,10.9,32.0,0.341,28.3,56.8,0.498,17.0,22.1,0.77,10.4,34.2,24.0,8.4,5.7,12.6,17.6,106.4,0.46153846153846156,-0.6227593039180502,-0.17769345334803976,-0.005178087801020374,-0.1511755371043334,-0.09788589918182994,-0.03680647865232817,-0.11314937101555798,-0.026087163090128446,0.05927425599421765,-0.17769345334803976,-0.03680647865232817,-0.06519933816444623,-0.015573191998076358,0.010365875788059508,-0.03680647865232817,-0.015573191998076358,0.11314937101555798,0.14032389060276027,-0.2178312997536424,-0.6227593039180502,-0.1511755371043334,-0.0051780878010202905
28,29,Golden State Warriors,2020,West,0,65,15,50,241.9,38.6,88.2,0.43799999999999994,10.4,31.3,0.33399999999999996,28.2,56.9,0.495,18.7,23.2,0.8029999999999999,10.0,32.9,25.6,8.2,4.6,14.9,20.1,106.3,0.23076923076923078,0.03687536241767449,-0.2556905149506049,-0.06957615850254809,-0.2556905149506049,-0.19183882337252156,-0.11489852925870259,-0.2556905149506049,-0.04320346750341084,0.08367848374297204,-0.2556905149506049,0.09867902028779417,0.02442693714648813,0.20857668590921521,-0.04320346750341084,-0.14263235659882947,0.06957615850254811,0.09104912702779483,-0.05614239581569744,0.03687536241767449,-0.04320346750341084,-0.20857668590921521,-0.7309952577484171
29,30,Charlotte Hornets,2020,East,0,65,23,42,242.3,37.3,85.9,0.434,12.1,34.3,0.35200000000000004,25.2,51.6,0.489,16.2,21.6,0.748,11.0,31.8,23.8,6.6,4.1,14.6,18.8,102.9,0.35384615384615387,0.062052822270465983,-0.42547374092364043,-0.0891695437034001,-0.42547374092364043,-0.0035377077045180847,0.017822941865678888,-0.03654533890226726,-0.42547374092364043,-0.07730448323495698,-0.42547374092364043,-0.07194431446754737,-0.06687636691502244,-0.06687636691502244,0.11165924945410216,-0.12140147543035291,-0.03267752412744329,-0.0891695437034001,-0.09587031506408877,-0.01063971941624428,-0.11165924945410223,-0.42547374092364043,-0.057435847178884815
