Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,21,241.2,41.2,86.0,.480,11.2,31.4,.357,30.0,54.6,.550,16.8,20.4,.822,9.1,35.9,45.0,26.0,7.9,5.8,12.9,19.7,110.4
2,Cleveland Cavaliers,22,242.3,36.9,81.9,.450,10.0,30.3,.331,26.8,51.5,.520,17.4,23.1,.752,9.8,31.6,41.4,19.2,6.0,4.4,12.7,19.5,101.1
3,Boston Celtics,19,242.6,36.4,83.3,.437,10.5,30.6,.343,25.9,52.7,.493,18.1,23.5,.767,8.8,32.8,41.7,21.2,6.8,4.1,11.6,20.4,101.4
4,Houston Rockets,17,240.0,37.2,85.3,.436,13.4,39.8,.337,23.8,45.5,.522,17.2,22.2,.772,8.8,34.2,43.0,18.8,8.1,5.5,12.1,19.1,104.9
5,Utah Jazz,11,240.0,37.7,82.9,.455,10.7,29.9,.359,27.0,53.0,.509,16.2,23.5,.687,9.4,35.6,45.0,20.3,7.5,5.0,15.5,20.5,102.4
6,Philadelphia 76ers,10,242.5,38.7,88.5,.437,9.9,29.3,.338,28.8,59.2,.486,21.5,28.3,.760,13.4,36.1,49.5,25.8,7.8,4.1,14.6,22.8,108.8
7,Toronto Raptors,10,242.5,38.9,82.3,.473,10.4,26.7,.390,28.5,55.6,.513,19.1,23.9,.799,9.4,30.7,40.1,21.8,5.7,6.1,14.0,22.6,107.3
8,New Orleans Pelicans,9,240.0,42.9,89.8,.478,9.9,27.0,.366,33.0,62.8,.526,14.3,18.3,.782,7.9,37.7,45.6,26.9,8.1,5.0,14.4,19.3,110.0
9,Milwaukee Bucks,7,243.6,39.1,78.3,.500,9.6,25.7,.372,29.6,52.6,.563,14.0,19.9,.705,5.6,33.0,38.6,22.0,6.6,6.7,13.1,22.9,101.9
10,Indiana Pacers,7,240.0,38.6,80.1,.481,9.7,27.1,.358,28.9,53.0,.544,13.7,19.3,.711,8.1,31.9,40.0,21.1,8.1,2.7,13.1,21.9,100.6
11,Washington Wizards,6,240.0,39.7,85.2,.466,8.0,21.8,.366,31.7,63.3,.500,19.8,23.3,.850,8.5,31.5,40.0,23.3,7.8,5.2,13.5,21.0,107.2
12,Oklahoma City Thunder,6,240.0,37.2,86.5,.430,10.5,28.8,.364,26.7,57.7,.462,16.3,21.2,.772,9.3,34.7,44.0,16.3,8.8,4.2,14.0,21.7,101.2
13,Miami Heat,5,240.0,36.6,82.8,.442,10.8,27.6,.391,25.8,55.2,.467,19.4,28.6,.678,9.6,31.4,41.0,23.8,8.8,6.4,16.0,29.2,103.4
14,Minnesota Timberwolves,5,240.0,38.0,82.6,.460,9.0,21.8,.413,29.0,60.8,.477,16.6,22.8,.728,8.6,36.6,45.2,22.4,5.0,3.2,12.6,18.2,101.6
15,San Antonio Spurs,5,240.0,34.6,83.8,.413,8.4,28.2,.298,26.2,55.6,.471,19.2,23.0,.835,8.4,29.2,37.6,19.0,7.6,3.0,11.0,20.4,96.8
16,Portland Trail Blazers,4,240.0,41.3,91.0,.453,10.8,32.3,.333,30.5,58.8,.519,12.3,15.8,.778,11.3,32.3,43.5,19.0,8.3,3.8,14.5,20.5,105.5
